70	51	107	87
70	51	107	87
70	51	107	87
70	51	107	87
70	51	107	87
70	51	105	87
70	51	105	87
70	51	103	87
68	53	103	82
68	53	103	82
68	53	103	82
65	50	104	88
64	51	105	84
66	54	101	81
63	55	105	79
61	51	110	85
61	53	107	83
63	51	105	88
64	52	102	84
63	54	104	83
60	54	109	82
64	55	100	79
62	55	104	83
63	53	101	81
62	56	101	77
62	54	103	80
63	54	100	79
63	55	102	80
65	56	96	77
58	54	105	82
62	53	100	81
60	54	104	79
58	54	106	79
59	54	106	78
61	53	101	79
62	54	100	77
60	55	103	77
60	54	104	78
61	54	102	79
63	53	97	81
61	54	103	80
63	56	100	78
65	55	97	79
62	56	102	79
64	57	100	76
65	54	99	80
61	58	105	77
63	56	103	79
67	56	97	77
64	57	100	76
66	54	99	79
65	55	102	81
68	58	95	73
66	57	100	79
68	57	98	79
68	57	97	81
66	58	101	80
66	58	101	79
68	59	99	80
70	58	97	80
69	59	98	80
68	61	100	79
65	61	104	78
66	58	101	79
68	57	99	78
67	56	101	80
68	60	101	75
66	57	104	80
69	58	99	77
67	56	102	76
72	59	95	78
71	56	96	76
71	54	96	79
67	54	99	78
68	54	98	76
68	53	97	77
67	53	98	79
66	57	99	74
66	55	99	77
65	55	101	80
65	57	99	75
68	57	94	76
65	57	98	77
66	58	96	72
65	57	98	79
66	57	99	77
69	57	93	76
69	58	92	76
67	59	95	76
67	57	95	76
68	60	93	73
68	58	94	79
66	59	96	76
67	59	95	75
67	57	95	78
68	58	94	76
67	58	97	77
70	58	91	75
66	59	98	71
68	58	94	72